toll_plaza_id,Stretch,Tollable Length,Fee Effective Date,Due Date of Toll Revision,Concessions,Rest Areas,Truck Lay byes,Static Weigh Bridge,Announcement,Helpline No.,Emergency Services,Nearest Police Station,Highway Administrator (Project Director),Project Implementation Unit(PIU),Regional Office(RO),Representative of Consultant,Representative of Concessionaire,Nearest Hospital(s),Date of fee notification,Commercial Operation Date,Fee Rule,Capital Cost of Project (in Rs. Cr.),Cumulative Toll Revenue (in Rs. Cr.),Concessions Period,Design Capacity (PCU),Traffic (PCU/day),Target Traffic (PCU/day),Name of Concessionaire / OMT Contractor,Name / Contact Details of Incharge,Car/Jeep/Van_Single Journey,Car/Jeep/Van_Return Journey,Car/Jeep/Van_Monthly Pass,Car/Jeep/Van_Commercial Vehicle Registered within the district of plaza,LCV_Single Journey,LCV_Return Journey,LCV_Monthly Pass,LCV_Commercial Vehicle Registered within the district of plaza,Bus/Truck_Single Journey,Bus/Truck_Return Journey,Bus/Truck_Monthly Pass,Bus/Truck_Commercial Vehicle Registered within the district of plaza,Upto 3 Axle Vehicle_Single Journey,Upto 3 Axle Vehicle_Return Journey,Upto 3 Axle Vehicle_Monthly Pass,Upto 3 Axle Vehicle_Commercial Vehicle Registered within the district of plaza,4 to 6 Axle_Single Journey,4 to 6 Axle_Return Journey,4 to 6 Axle_Monthly Pass,4 to 6 Axle_Commercial Vehicle Registered within the district of plaza,HCM/EME_Single Journey,HCM/EME_Return Journey,HCM/EME_Monthly Pass,HCM/EME_Commercial Vehicle Registered within the district of plaza,7 or more Axle_Single Journey,7 or more Axle_Return Journey,7 or more Axle_Monthly Pass,7 or more Axle_Commercial Vehicle Registered within the district of plaza
4495,Telangana Border to Erpedu,61.386 Km(s),03-Jun-2024,31-Mar-2025,The rate of monthly pass for a person who owns a mechanical vehicle registered for non-commercial purposes and resides within a distance of twenty kilometers from the fee plaza is Rs. 340.00 (Rupees Two Hundred Forty Five only) for the year 2024-25.,NA,NA,NA,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-9696545554, Ambulance -8977545499, Route Patrol-8977927949",9949497949,/,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,Ms.ARMENGE ENGINEERING PVT. LTD.,M/s.RR ASSOCIATES (O&M Contractor) / 8977527949,,05-Sep-2016 (Sr No. - S.O. 2869(E)),01-Sep-2017,2008 amended,NA,NA (For Entire Project Stretch) As on :01-Sep-2017,NA,NA,NA As on : 01-Sep-2017,NA As on : 01-Sep-2017,M/s.Y Meenakshi,Mr.USMAN / 8130006278,60.00,90.00,2010.00,30.00,95.00,145.00,3250.00,50.00,205.00,305.00,6805.00,100.00,225.00,335.00,7425.00,110.00,320.00,480.00,10670.00,160.00,320.00,480.00,10670.00,160.00,390.00,585.00,12990.00,195.00
4557,Km 695.000 to Km 741.950,46.95 Km(s),03-Jun-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,05 Nos.,04 Nos.,NA,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-8008699699, Ambulance -1033  9652528593, Route Patrol-8977017949",1033 100  102  108,BUCHIREDDYPALEM / 08622273433,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,G papa Rao,M/s.RR ASSOCIATES (O&M Contractor) / 9949497949,A.C.Subbarddy Government General Hospital Nellore  08612328500,16-Oct-2018 (Sr No. - S.O.No.2896 (E)),17-Oct-2018,Fee rules 2008,329.57,61.19 (For Entire Project Stretch) As on :25-Dec-2024,3 MONTHS,NA,3800 As on : 25-Dec-2024,8309 As on : 31-Dec-2018,Ms Chabbras Associates,Mr.D.RAMESH / 8130006288,40.00,60.00,1340.00,20.00,65.00,95.00,2160.00,30.00,135.00,205.00,4530.00,70.00,150.00,220.00,4940.00,75.00,215.00,320.00,7105.00,105.00,215.00,320.00,7105.00,105.00,260.00,390.00,8645.00,130.00
229,Tada - Nellore,Km 34.650 Km(s),03-Jun-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,At Km 101.000,At Km 124.000,0,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-9908267161, Ambulance -7893821033, Route Patrol-7095125553",9849350000,Chillakur Police Station /,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,"Mr Bindyachal Rai , Mr Akilesh Mishra",Mr. M. Hari Pandu Ranga Swamy / 7702200287,"1)CR Reddy Hospital Swarna Bharathi NagarGudur, Andhra Pradesh, 2) Mydhili Hospital Market Road Gudur, Andhra Pradesh ph.: 086242 20896",07-May-2004 (Sr No. - ),21-May-2004,1997,750.00,1077.00 (For Entire Project Stretch) As on :31-Dec-2016,01.08.2001-31.07.2031,80000,12103 As on : 11-Feb-2017,30231 As on : 31-Dec-2017,M/s. Swarna Tollways Pvt Ltd,Mr. Dileepu Kumar Reddy / 8130006330,50.00,NA,NA,25.00,90.00,NA,NA,45.00,175.00,NA,NA,90.00,375.00,NA,NA,190.00,375.00,NA,NA,190.00,375.00,NA,NA,190.00,375.00,NA,NA,190.00
452,Kadapa - Kurnool(Km 167.750 - km 356.502),Km 59.50 Km(s),03-Jun-2024,31-Mar-2025,"Monthly pass applicable local non-commercial vehicles:340/- at radius of 20 Km.The Concessionaire shall issue  50 or more one way tickets at a discounted rate equivalent to 2/3rd of the fee payable during the period of one month form the date of payment of fee. The amount indicated is for monthly pass for 50 one way trips. However, if any person asks more than 50 trips during a period of one month,the Concessionaire shall be required to issue such tickets at a discounted rate as above.",214.300 LHS,244.030 LHS,228.35,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-7036500054, Ambulance -9515151357, Route Patrol-7331167908",9100079986,"Chagalmarri / 08519-232333, 94407 95540",Sh. D chandra shekher reddy / 08514225089,PIU Nandyal,RO Vijaywada,Mr Durga prasad,Major G.V. Ramachandra Reddy / 0,Chagalmarri PHC .101,30-Dec-2015 (Sr No. - 1388(E)),11-Jan-2016,2008,NA,29.81 (For Entire Project Stretch) As on :31-Dec-2016,15.11.2010-14.11.2040,NA,17024 As on : 10-Jun-2017,5084 As on : 29-Jan-2016,M/s KMC Construction Limited & IVRCL infrastructure Limited,Major G.V. Ramachandra Reddy / 8130006339,90.00,130.00,2940.00,NA,140.00,215.00,4745.00,NA,300.00,450.00,9945.00,NA,470.00,700.00,15595.00,NA,470.00,700.00,15595.00,NA,470.00,700.00,15595.00,NA,570.00,855.00,18990.00,NA
5876,Design Engineering Fi0ncing Procurement Construction Operation Mainte0nce of 4 laning of CuddapahKurnool section of NH18 from the existing Km 167.750 to Km 356.502 in the State of Andhra Pra,60.78 Kms Km(s),03-Jun-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,1,1,2,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-7036500054, Ambulance -7036500052, Route Patrol-7036500051",1033,NAndyal III Town Police Station / 7892853697,Sh.Ashok Kumar / 8130006267,PIU Kadapa,RO Vijaywada,Mr. Sudhakar Rao Team Leader Ms. L.N Malviya Infra,Mr. Arun Raj OM Head / 8248110831,Government Hospital NAndyal 08514 242575,21-Jun-2012 (Sr No. - S.O. No. 1388),29-Jul-2019,Fee rules 2008,1585.00,890437160.00 (For Entire Project Stretch) As on :02-Apr-2022,30,12,4527 As on : 02-Apr-2022,17000 As on : 02-Apr-2022,Rayal seema Expressway Private Limited,Mr. Ravi Ranjan / 8130006340,130.00,195.00,4285.00,NA,200.00,300.00,6720.00,NA,415.00,620.00,13805.00,NA,635.00,955.00,21240.00,NA,635.00,955.00,21240.00,NA,635.00,955.00,21240.00,NA,805.00,1210.00,26850.00,NA
205,Srikakulam - Champavati ( km 97.00 to Km 49.00(New Chainage From Km 606.204 to Km 654.204)),Km 48.000 Km(s),01-Apr-2022,31-Mar-2023,"Monthly pass applicable local non-commercial vehicles  Residing with in radius of 20 km  :Rs.330/-.The Concessionaire shall issue  50 or more one way tickets at a discounted rate equivalent to 2/3rd of the fee payable during the period of one month form the date of payment of fee. The amount indicated is for monthly pass for 50 one way trips. However, if any person asks more than 50 trips during a period of one month, the Concessionaire shall be required to issue such tickets at a discounted rate as above.",0,0,0,,"Crane-9966407567, Ambulance -9396456000, Route Patrol-9396457000","1033, 108",Etcherla / 100,Sh. Prabhat Ranjan / 8130006265,PIU Vishakapatnam,RO Vijaywada,,Vara Prasad / 9491568162,"1)pydi naidu kalisetti Srikakulam, Andhra Pradesh Ph.: 083744 29271, 2) Kintali Government Hospital Kinthali, Andhra Pradesh 532402",12-Sep-2012 (Sr No. - S.O.2169(E)),11-Aug-2007,2008 as amended with transition,171.25,213.82   (With Discounting)   (For Entire Project Stretch) As on :31-Dec-2016,08.03.16 - 07.03.17,40000,40928 As on : 04-Feb-2017,35575 As on : 01-Jan-2001,M/s Sahakar Global Ltd,Mr Vara Prasad / 9491568162,75.00,NA,NA,NA,120.00,NA,NA,NA,245.00,NA,NA,NA,270.00,NA,NA,NA,385.00,NA,NA,NA,385.00,NA,NA,NA,470.00,NA,NA,NA
376,Hyderabad - Vijayawada,50.780 Km(s),03-Jun-2024,31-Mar-2025,"Monthly pass applicable for locale non-commercial vehicles :Rs.340/-(with in 20 km).The Concessionaire shall issue  50 or more one way tickets at a discounted rate equivalent to 2/3rd of the fee payable during the period of one month form the date of payment of fee. The amount indicated is for monthly pass for 50 one way trips. However, if any person asks more than 50 trips during a period of one month,the Concessionaire shall be required to issue such tickets at a discounted rate as above.",0,Km 202+073,0,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-9652601475, Ambulance -1033, Route Patrol-9652601640",1033,Vastavai / 865428223,Sh. P. Nageswara Rao / 8130006138,PIU Hyderabad,RO Hyderabad,Mr. Sai kumar Seethamsetty,Mr Chandra Sekhar B / 9676237506,"1)Sri Rama Hospital Jaggayapeta, Andhra Pradesh Ph.: 086542 22331, 2) Jaggayyapet Government Hospital Y.Y. Colony Jaggayapeta, Andhra Pradesh",06-Jun-2012 (Sr No. - 1299 (E)),20-Dec-2012,2008,1740.00,911.11 (For Entire Project Stretch) As on :31-Dec-2016,06.04.2010-05.04.2035,60000,25454 As on : 16-Apr-2017,36666 As on : 12-Jan-2019,Ms.Ashmi Road Carriers Pvt.Ltd.,Mr Nithish / 8130007263,110.00,160.00,3610.00,NA,110.00,160.00,3610.00,NA,355.00,530.00,11785.00,NA,545.00,820.00,18215.00,NA,545.00,820.00,18215.00,NA,545.00,820.00,18215.00,NA,685.00,1025.00,22810.00,NA
6632,Eepuripalem to Ongole section,59.50 km Km(s),03-Jun-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,NA,NA,NA,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-8519944336, Ambulance -1.00000000222, Route Patrol-6260436170",8519944336,Chinaganjam / 9121102149,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,Shri Rajiv Ranjan (Lion Consultant),M/s. Krishnarao / 7974036123,Chinaganjam Government Health Centre.,18-Oct-2019 (Sr No. - S.O.3745 ( E )),10-Jan-2020,NA,NA,61.38 (For Entire Project Stretch) As on :30-Jul-2023,NA,6,2282 As on : 31-Jul-2023,NA As on : 31-Jul-2023,Md.Karimunnisa,Mr.Yesu Babu / 8130006297,70.00,105.00,2295.00,35.00,110.00,165.00,3710.00,55.00,235.00,350.00,7770.00,115.00,255.00,380.00,8480.00,125.00,365.00,550.00,12185.00,185.00,365.00,550.00,12185.00,185.00,445.00,670.00,14835.00,225.00
4485,Penchalkona to yerpedu,42 Km(s),03-Jun-2024,31-Mar-2025,The rate of monthly pass for a person who owns a mechanical vehicle registered for non-commercial purposes and resides within a distance of twenty kilometers from the fee plaza is Rs. 340 for the year 2024-25.,NA,NA,NA,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-8985228827   9959211221, Ambulance -8977008837, Route Patrol-8099666499",1033,/,Shri. G.Venkateshwarlu / 8130006271,PIU Tirupati,RO Vijaywada,,Bhupendra singh / 8130006281    9752186557,,08-Sep-2016 (Sr No. - 2896(E)),01-Jul-2017,2008 amended,NA,NA (For Entire Project Stretch) As on :01-Jul-2017,NA,NA,NA As on : 01-Jul-2017,NA As on : 01-Jul-2017,Rishi Raj,Dinesh / 8130006281,35.00,55.00,1230.00,20.00,60.00,90.00,1990.00,30.00,125.00,190.00,4170.00,65.00,135.00,205.00,4550.00,70.00,195.00,295.00,6540.00,100.00,195.00,295.00,6540.00,100.00,240.00,360.00,7960.00,120.00
5698,Muddanuru to Jammalamadugu section (Km 542.100 to Km 545.150),32.15 kms Km(s),03-Jun-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,1,2,0,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-1033, Ambulance -8712608211, Route Patrol-1033",1033,JAMMALAMADUGU / 9121100606,Sh.Ashok Kumar / 8130006267,PIU Kadapa,RO Vijaywada,MANGAL SHUKLA,ANIL KUMAR SHUKLA / 14092178141,0,21-Nov-2020 (Sr No. - 2344 (E)),23-Nov-2020,NH Fee rules 2008,0.91,2164244.00 (For Entire Project Stretch) As on :06-Mar-2021,NA,NA,21723 As on : 06-Mar-2021,NA As on : 06-Mar-2021,NA,ANIL SHUKLA / 8130006303,30.00,45.00,1035.00,15.00,50.00,75.00,1675.00,25.00,105.00,160.00,3510.00,55.00,115.00,170.00,3830.00,55.00,165.00,250.00,5505.00,85.00,165.00,250.00,5505.00,85.00,200.00,300.00,6700.00,100.00
6588,Kodikonda junction to Madakasira,56.803 Km(s),03-Jun-2024,31-Mar-2025,Toll rates due for revision w.e.f : 31 Mar 2025,NO,NO,NO,Toll rates due for revision w.e.f : 31 Mar 2025,"Crane-, Ambulance -, Route Patrol-",1033,Lepakshi Police Station / 9346010567,Sh.A.Tarun Kumar / 8130006269,PIU Anantapur,RO Vijaywada,,Jagadeesh / 7799150669,Lepakshi,01-Jul-2022 (Sr No. - 3117E),30-Aug-2022,NH Fee Rule 2008,266.73,NA (For Entire Project Stretch) As on :07-Jul-2022,1,NA,NA As on : 07-Jul-2022,NA As on : 07-Jul-2022,T Suryanarayana Reddy,Jagadeesh / 8130006316,65.00,95.00,2155.00,30.00,105.00,155.00,3480.00,50.00,220.00,330.00,7295.00,110.00,240.00,360.00,7960.00,120.00,345.00,515.00,11440.00,170.00,345.00,515.00,11440.00,170.00,420.00,625.00,13925.00,210.00
