sr_no,state,nh_no,toll_plaza_name,toll_plaza_location,section_stretch,tollplazaid,latitude,longitude,place_id,address_partial_match,toll_plaza_id,stretch,tollable_length,fee_effective_date,due_date_of_toll_revision,concessions,rest_areas,truck_lay_byes,static_weigh_bridge,announcement,helpline_no,emergency_services,nearest_police_station,highway_administrator_project_director,project_implementation_unit_piu,regional_office_ro,representative_of_consultant,representative_of_concessionaire,nearest_hospital_s,date_of_fee_notification,commercial_operation_date,fee_rule,capital_cost_of_project_in_rs_cr,cumulative_toll_revenue_in_rs_cr,concessions_period,design_capacity_pcu,traffic_pcu_day,target_traffic_pcu_day,name_of_concessionaire_omt_contractor,name_contact_details_of_incharge,car_jeep_van_single_journey,car_jeep_van_return_journey,car_jeep_van_monthly_pass,car_jeep_van_commercial_vehicle_reg_in_district,lcv_single_journey,lcv_return_journey,lcv_monthly_pass,lcv_commercial_vehicle_reg_in_district,bus_truck_single_journey,bus_truck_return_journey,bus_truck_monthly_pass,bus_truck_commercial_vehicle_reg_in_district,upto_3_axle_vehicle_single_journey,upto_3_axle_vehicle_return_journey,upto_3_axle_vehicle_monthly_pass,upto_3_axle_vehicle_commercial_vehicle_reg_in_district,_4_to_6_axle_single_journey,_4_to_6_axle_return_journey,_4_to_6_axle_monthly_pass,_4_to_6_axle_commercial_vehicle_reg_in_district,hcm_eme_single_journey,hcm_eme_return_journey,hcm_eme_monthly_pass,hcm_eme_commercial_vehicle_reg_in_district,_7_or_more_axle_single_journey,_7_or_more_axle_return_journey,_7_or_more_axle_monthly_pass,_7_or_more_axle_commercial_vehicle_reg_in_district
11,Andhra Pradesh,71,Brahmanapalli,348.720,Telangana Border to Erpedu,4495,16.5168351,79.8306076,ChIJSQ-ifCtvNToRdv35c16W5t8,True,4495,Telangana Border to Erpedu,61.386 Km(s),01-Apr-2025,31-Mar-2026,NA,NA,NA,NA,NA,"Crane-9696545554, Ambulance -8977545499, Route Patrol-8977927949",9949497949,/,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,Ms.ARMENGE ENGINEERING PVT. LTD.,M/s.RR ASSOCIATES (O&M Contractor) / 8977527949,NA,05-Sep-2016 (Sr No. - S.O. 2869(E)),01-Sep-2017,2008 amended,NA,NA (For Entire Project Stretch) As on :01-Sep-2017,NA,NA,NA As on : 01-Sep-2017,NA As on : 01-Sep-2017,M/s.Y Meenakshi,Mr.USMAN / 8130006278,60.00,95.00,2080.00,30.00,100.00,150.00,3365.00,50.00,210.00,315.00,7045.00,105.00,230.00,345.00,7685.00,115.00,330.00,495.00,11050.00,165.00,405.00,495.00,11050.00,165.00,405.00,605.00,13450.00,200.00
12,Andhra Pradesh,NH 67,Buchireddypalem,Km 722.450,Km 695.000 to Km 741.950,4557,14.5431722,79.8620955,ChIJjSzd2n-RTDoRGUQIxCN_lck,False,4557,Km 695.000 to Km 741.950,46.95 Km(s),01-Apr-2025,31-Mar-2026,NA,06 Nos.,04 Nos.,NA,NA,"Crane-9441857588, Ambulance -1033  8977545474, Route Patrol-9182812023",1033 100  102  108,BUCHIREDDYPALEM / 08622273433,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,G papa Rao,M/s.RR ASSOCIATES (O&M Contractor) / 9949497949,A.C.Subbarddy Government General Hospital Nellore  08612328500,16-Oct-2018 (Sr No. - S.O.No.2896 (E)),17-Oct-2018,Fee rules 2008,329.57,63.83 (For Entire Project Stretch) As on :25-Feb-2025,1 Year,NA,3800 As on : 25-Feb-2025,8309 As on : 31-Dec-2027,Ms Chabbras Associates,Mr.D.RAMESH / 8130006288,40.00,60.00,1385.00,20.00,65.00,100.00,2240.00,35.00,140.00,210.00,4690.00,70.00,155.00,230.00,5115.00,75.00,220.00,330.00,7355.00,110.00,270.00,330.00,7355.00,110.00,270.00,405.00,8955.00,135.00
13,Andhra Pradesh,5,Budhanam,Km 124.500,Tada - Nellore,229,14.059887,79.894466,ChIJHdgtWmgdTToRJU_SANbh4ko,False,229,Tada - Nellore,Km 34.650 Km(s),03-Jun-2024,31-Mar-2025,NA,At Km 101.000,At Km 124.000,0,NA,"Crane-9908267161, Ambulance -7893821033, Route Patrol-7095125553",9849350000,Chillakur Police Station /,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,"Mr Bindyachal Rai , Mr Akilesh Mishra",Mr. M. Hari Pandu Ranga Swamy / 7702200287,"1)CR Reddy Hospital Swarna Bharathi NagarGudur, Andhra Pradesh, 2) Mydhili Hospital Market Road Gudur, Andhra Pradesh ph.: 086242 20896",07-May-2004 (Sr No. - ),21-May-2004,1997,750.00,1077.00 (For Entire Project Stretch) As on :31-Dec-2016,01.08.2001-31.07.2031,80000,12103 As on : 11-Feb-2017,30231 As on : 31-Dec-2017,M/s. Swarna Tollways Pvt Ltd,Mr. Dileepu Kumar Reddy / 8130006330,50.00,NA,NA,25.00,90.00,NA,NA,45.00,175.00,NA,NA,90.00,375.00,NA,NA,190.00,375.00,NA,NA,190.00,375.00,NA,NA,190.00,375.00,NA,NA,190.00
14,Andhra Pradesh,40,Chagalmarri,Km 228.350,Kadapa - Kurnool(Km 167.750 - km 356.502),452,14.9795772,78.57480679999999,ChIJTYeL94JjtDsRSg8ZJxVi4xg,True,452,Kadapa - Kurnool(Km 167.750 - km 356.502),Km 59.50 Km(s),01-Apr-2025,31-Mar-2026,NA,214.300 LHS,244.030 LHS,228.35,NA,"Crane-7036500054, Ambulance -9515151357, Route Patrol-7331167908",9100079986,"Chagalmarri / 08519-232333, 94407 95540",Sh. D chandra shekher reddy / 08514225089,PIU Nandyal,RO Vijaywada,Mr Durga prasad,Major G.V. Ramachandra Reddy / 0,Chagalmarri PHC .101,30-Dec-2015 (Sr No. - 1388(E)),11-Jan-2016,2008,NA,29.81 (For Entire Project Stretch) As on :31-Dec-2016,15.11.2010-14.11.2040,NA,17024 As on : 10-Jun-2017,5084 As on : 29-Jan-2016,M/s KMC Construction Limited & IVRCL infrastructure Limited,Major G.V. Ramachandra Reddy / 8130006339,90.00,135.00,3045.00,NA,145.00,220.00,4915.00,NA,310.00,465.00,10300.00,NA,485.00,725.00,16150.00,NA,485.00,725.00,16150.00,NA,485.00,725.00,16150.00,NA,590.00,885.00,19665.00,NA
15,Andhra Pradesh,NH18 (New NH40),Chapirevula,Km. 288.500,Design Engineering Fi0ncing Procurement Construction Operation Mainte0nce of 4 laning of CuddapahKurnool section of NH18 from the existing Km 167.750 to Km 356.502 in the State of Andhra Pra,5876,15.459914,78.4516785,ChIJabh_8V1NtDsRPQ1y4twgssE,False,5876,Design Engineering Fi0ncing Procurement Construction Operation Mainte0nce of 4 laning of CuddapahKurnool section of NH18 from the existing Km 167.750 to Km 356.502 in the State of Andhra Pra,60.78 Kms Km(s),01-Apr-2025,31-Mar-2026,NA,1,1,2,NA,"Crane-7036500054, Ambulance -7036500052, Route Patrol-7036500051",1033,NAndyal III Town Police Station / 7892853697,Sh.Ashok Kumar / 8130006267,PIU Kadapa,RO Vijaywada,Mr. Sudhakar Rao Team Leader Ms. L.N Malviya Infra,Mr. Arun Raj OM Head / 8248110831,Government Hospital NAndyal 08514 242575,21-Jun-2012 (Sr No. - S.O. No. 1388),29-Jul-2019,Fee rules 2008,1585.00,890437160.00 (For Entire Project Stretch) As on :02-Apr-2022,30,12,4527 As on : 02-Apr-2022,17000 As on : 02-Apr-2022,Rayal seema Expressway Private Limited,Mr. Ravi Ranjan / 8130006340,135.00,200.00,4440.00,NA,210.00,315.00,6955.00,NA,430.00,645.00,14295.00,NA,660.00,990.00,21995.00,NA,660.00,990.00,21955.00,NA,660.00,990.00,21955.00,NA,835.00,1250.00,27800.00,NA
16,Andhra Pradesh,65,Chillakallu,Km 205.025,Hyderabad - Vijayawada,376,16.8849567,80.1606791,ChIJNQxhjpSoNToRKLrwjoKJCB4,False,376,Hyderabad - Vijayawada,50.780 Km(s),01-Apr-2025,31-Mar-2026,NA,0,Km 202+073,0,NA,"Crane-9652601475, Ambulance -1033, Route Patrol-9652601640",1033,Vastavai / 865428223,Sh. P. Nageswara Rao / 8130006138,PIU Hyderabad,RO Hyderabad,Mr. Sai kumar Seethamsetty,Mr Chandra Sekhar B / 9676237506,"1)Sri Rama Hospital Jaggayapeta, Andhra Pradesh Ph.: 086542 22331, 2) Jaggayyapet Government Hospital Y.Y. Colony Jaggayapeta, Andhra Pradesh",06-Jun-2012 (Sr No. - 1299 (E)),20-Dec-2012,2008,1740.00,911.11 (For Entire Project Stretch) As on :31-Dec-2016,06.04.2010-05.04.2035,60000,25454 As on : 16-Apr-2017,36666 As on : 12-Jan-2019,Ms.Ashmi Road Carriers Pvt.Ltd.,Mr Nithish / 8130007263,105.00,155.00,3610.00,NA,165.00,250.00,3610.00,NA,350.00,520.00,11785.00,NA,380.00,570.00,18215.00,NA,545.00,820.00,18215.00,NA,665.00,820.00,18215.00,NA,665.00,995.00,22810.00,NA
17,Andhra Pradesh,NH 216,Chinaganjam Toll Plaza,Chinaganjam,Eepuripalem to Ongole section,6632,15.6929955,80.24185779999999,ChIJP3vrpg5RSjoR2BSv_n7mrm4,True,6632,Eepuripalem to Ongole section,59.50 km Km(s),01-Apr-2025,31-Mar-2026,NA,NA,NA,NA,NA,"Crane-8519944336, Ambulance -1.00000000222, Route Patrol-6260436170",8519944336,Chinaganjam / 9121102149,Sh.M.K.Choudary / 8130006266,PIU Nellore,RO Vijaywada,Shri Rajiv Ranjan (Lion Consultant),M/s. Krishnarao / 7974036123,Chinaganjam Government Health Centre.,18-Oct-2019 (Sr No. - S.O.3745 ( E )),10-Jan-2020,NA,NA,61.38 (For Entire Project Stretch) As on :30-Jul-2023,NA,6,2282 As on : 31-Jul-2023,NA As on : 31-Jul-2023,Md.Karimunnisa,Mr.Yesu Babu / 8130006297,70.00,105.00,2295.00,35.00,110.00,165.00,3710.00,55.00,235.00,350.00,7770.00,115.00,255.00,380.00,8480.00,125.00,365.00,550.00,12185.00,185.00,365.00,550.00,12185.00,185.00,445.00,670.00,14835.00,225.00
18,Andhra Pradesh,565,Chintalapalem,500.150,Penchalkona to yerpedu,4485,13.7885144,79.5896139,ChIJ_2EAJCc6TToRn0D8lqNUZMg,False,4485,Penchalkona to yerpedu,42 Km(s),01-Apr-2025,31-Mar-2026,NA,NA,NA,NA,NA,"Crane-8985228827   9959211221, Ambulance -8977008837, Route Patrol-8099666499",1033,/,Shri. G.Venkateshwarlu / 8130006271,PIU Tirupati,RO Vijaywada,NA,Bhupendra singh / 8130006281    9752186557,NA,08-Sep-2016 (Sr No. - 2896(E)),01-Jul-2017,2008 amended,NA,NA (For Entire Project Stretch) As on :01-Jul-2017,NA,NA,NA As on : 01-Jul-2017,NA As on : 01-Jul-2017,Rishi Raj,Dinesh / 8130006281,40.00,55.00,1275.00,20.00,60.00,95.00,2060.00,30.00,130.00,195.00,4320.00,65.00,140.00,210.00,4710.00,70,205.00,305.00,6770.00,100.00,205.00,305.00,6770.00,100.00,245.00,370.00,8245.00,125.00
19,Andhra Pradesh,NH67,Chitimiti Chintala,535.170 at Chittimiti Chintala,Muddanuru to Jammalamadugu section (Km 542.100 to Km 545.150),5698,15.9128998,79.7399875,ChIJf9STrvhGNToRg82tlb670TM,True,5698,Muddanuru to Jammalamadugu section (Km 542.100 to Km 545.150),32.15 kms Km(s),03-Jun-2024,31-Mar-2025,NA,1,2,0,NA,"Crane-1033, Ambulance -8712608211, Route Patrol-1033",1033,JAMMALAMADUGU / 9121100606,Sh.Ashok Kumar / 8130006267,PIU Kadapa,RO Vijaywada,MANGAL SHUKLA,ANIL KUMAR SHUKLA / 14092178141,0,21-Nov-2020 (Sr No. - 2344 (E)),23-Nov-2020,NH Fee rules 2008,0.91,2164244.00 (For Entire Project Stretch) As on :06-Mar-2021,NA,NA,21723 As on : 06-Mar-2021,NA As on : 06-Mar-2021,NA,ANIL SHUKLA / 8130006303,30.00,45.00,1035.00,15.00,50.00,75.00,1675.00,25.00,105.00,160.00,3510.00,55.00,115.00,170.00,3830.00,55.00,165.00,250.00,5505.00,85.00,165.00,250.00,5505.00,85.00,200.00,300.00,6700.00,100.00
20,Andhra Pradesh,NH 544E,Cholasamudram,Cholasamudram,Kodikonda junction to Madakasira,6588,13.808445,77.5655242,ChIJv_-6gHaYsTsRsDY-i1mBls8,True,6588,Kodikonda junction to Madakasira,56.803 Km(s),01-Apr-2025,31-Mar-2026,NA,NO,NO,NO,NA,"Crane-, Ambulance -, Route Patrol-",1033,Lepakshi Police Station / 9346010567,Sh.A.Tarun Kumar / 8130006269,PIU Anantapur,RO Vijaywada,NA,Jagadeesh / 7799150669,Lepakshi,01-Jul-2022 (Sr No. - 3117E),30-Aug-2022,NH Fee Rule 2008,266.73,NA (For Entire Project Stretch) As on :07-Jul-2022,1,NA,NA As on : 07-Jul-2022,NA As on : 07-Jul-2022,T Suryanarayana Reddy,Jagadeesh / 8130006316,65.00,100.00,2230.00,35.00,110.00,160.00,3605.00,55.00,225.00,340.00,7555.00,115.00,245.00,370.00,8240.00,125.00,355.00,535.00,11845.00,180.00,435.00,535.00,11845.00,180.00,435.00,650.00,14420.00,215.00
21,Andhra Pradesh,42,Danamaiahgari palli,Danamaiahgari palli,KrishnagiriPalamaneru,6607,15.9128998,79.7399875,ChIJf9STrvhGNToRg82tlb670TM,True,6607,KrishnagiriPalamaneru,58 Km(s),01-Apr-2025,31-Mar-2026,NA,NA,NA,NA,NA,"Crane-1033, Ambulance -8712608219, Route Patrol-1033",1033,V.Kota / 9440900740,Sh. A. Karthik Reddy / 8130006272,PIU Chittoor,RO Vijaywada,NA,N Madhu / 8886595885,Government Hospital V.Kota,01-Apr-2022 (Sr No. - ),01-Apr-2022,NH Fee Rule 2008 as amended,251.50,37.95 (For Entire Project Stretch) As on :10-Feb-2025,15.11.2024 @ 08:00:00 hrs. to 15.02.2025 @ 07:59:5,6,3104 As on : 10-Feb-2025,NA As on : 31-Dec-2025,Y.Meenakshi,D RAMANJANEYULU / 8130006313,75.00,115.00,2455.00,35.00,120.00,185.00,3970.00,60.00,250.00,385.00,8315.00,125.00,270.00,425.00,9070.00,135.00,390.00,610.00,13040.00,195.00,390.00,610.00,13040.00,195.00,475.00,740.00,15870.00,240.00
