name,phone,city,state,pincode,business_status,latitude,longitude,formatted_address,place_id,rating,user_ratings_total
Sri Lakshmi Venkateswara Weigh Bridge,,N/A,Andhra Pradesh,523253,OPERATIONAL,15.582684,79.78611579999999,"HQMP+3CH, Andhra Pradesh 523253, India",ChIJtVRewqzhSjoRUZt-S3WxD_Q,4.6,10
Vishnu Priya Weigh Bridge,080999 44389,Avanigadda,Andhra Pradesh,521121,OPERATIONAL,16.0058565,80.9197351,"Avanigadda, Andhra Pradesh 521121, India",ChIJwaxiQ3PzSToR38KV0DrjJsk,3.9,13
VENKATA SAI WEIGH BRIDGE,098489 55449,Nemalipuri,Andhra Pradesh,522413,OPERATIONAL,16.4629442,79.93184049999999,"LUCKY FAMILY RESTAURANT Guntur Road, Kota, Nemalipuri, Andhra Pradesh 522413, India",ChIJcSNxeLF7NToRk_hDY6f6Hco,4.2,10
TAJ WEIGH BRIDGE 100 TONES,,Kuppam,Andhra Pradesh,517425,OPERATIONAL,12.7503516,78.34972139999999,"Krishnagiri - Palamaner Rd, opposite hp petrolbunk, Kuppam, Andhra Pradesh 517425, India",ChIJw_wEjzm5rTsRTeoMLxgCWkg,4.4,9
SSR Weigh Bridge,,Bathalapalli,Andhra Pradesh,515661,OPERATIONAL,14.5155638,77.7678918,"GQ89+65C, Tadipatri - Bangalore Rd, Bathalapalli, Andhra Pradesh 515661, India",ChIJ2TkEWwBbsTsRNd3iNi08e7w,5,1
KMR Weigh Bridge,094908 83354,Vajrakarur,Andhra Pradesh,515832,OPERATIONAL,15.0296702,77.382809,"29HM+V47, Vajrakarur, Andhra Pradesh 515832, India",ChIJdaIR7bXCtjsR0oxeuBIIr1k,4.9,19
Priyanka weigh bridge(120 tons),082972 35870,Markapur,Andhra Pradesh,523329,OPERATIONAL,15.7041378,79.18360059999999,"govt school, 569/1A4, opposite Thippayapalem, chintakunta village, Markapur, Badekhanpeta, Andhra Pradesh 523329, India",ChIJB_kTmlQltTsRTmrpLkgbe7k,5,1
Sri Lakshmi Venkateswara Weigh Bridge 100 tonnes,,Kadapa,Andhra Pradesh,516001,OPERATIONAL,14.4803983,78.80357,"FRJ3+34Q, Kadapa - Pulivendula Rd, Vinayaka Nagar, Kadapa, Andhra Pradesh 516001, India",ChIJGZjRgFBzszsRF7QL2u7lQFg,4.4,9
VIGNESH WEIGH BRIDGE,,Puttur,Andhra Pradesh,517583,OPERATIONAL,13.455634,79.552117,"Tirupati, to, Chennai - Anantapur Hwy, Puttur, Andhra Pradesh, India",ChIJh9aJFPxRTToRHw8UDqU93jo,5,1
JRR Weigh Bridge,,Thippavarappadu,Andhra Pradesh,524406,OPERATIONAL,14.1653166,79.7843027,"5Q8M+4PF, SEAL ROAD, Venkatagiri - Gudur Rd, Thippavarappadu, Andhra Pradesh 524406, India",ChIJm0ukECrnTDoR3-IO92DJC60,4.1,11
SRI VENKATESWARA SWAMY WEIGH BRIDGE @ KARRALAA DEPO,,Giddalur,Andhra Pradesh,523357,OPERATIONAL,15.3863255,78.9349383,"9WPM+GXP, SH 382, Racherla Gate Center, Giddalur, Andhra Pradesh 523357, India",ChIJsz3O8qjntDsRKRFpNS6531o,4.3,3
SAMBASIVA TRALI WEIGHBRIDGE 100 TONS,098498 13261,Dachepalli,Andhra Pradesh,522414,OPERATIONAL,16.5972972,79.7220928,"Vijayapuri South-Macherla Rd, Dachepalli, Nadikudi, Andhra Pradesh 522414, India",ChIJF4v66mVBNToRc2YWpRffUks,4.8,5
A.C.M.R WEIGH BRIDGE,,Nandyala,Andhra Pradesh,518502,OPERATIONAL,15.4636609,78.4806167,"Raitu Nagar, Nandyala, Andhra Pradesh 518502, India",ChIJyfii9glTtDsRZOfrVtS9H2Q,5,8
WEIGH BRIDGE,,Pudiwada,Andhra Pradesh,522268,OPERATIONAL,16.0020971,80.7066956,"2P24+RMP, Pudiwada Road, Pudiwada, Andhra Pradesh 522268, India",ChIJSaSTW88ZSjoRiP2Gg6AkHh8,5,3
Sri Lakshmi trades weight bridge,,Bogole,Andhra Pradesh,524142,OPERATIONAL,14.7636532,79.9911,"QX7R+FC9, Bogole, Andhra Pradesh 524142, India",ChIJybFfbSGDTDoRUCDpj_fUfos,5,4
Kanakamahalakshmi Computerised Weigh Bridge,,Etcherla,Andhra Pradesh,532410,OPERATIONAL,18.2855785,83.8421812,"7RPR+6VM, Vizag - Srikakulam Hwy, SM puram, Near Kintalimill, Etcherla, Andhra Pradesh 532410, India",ChIJl5CqnoYTPDoRgbuI1CsodMo,3.6,16
Gold Rock Weigh Bridge,094409 33338,Gundlapalli,Andhra Pradesh,523211,OPERATIONAL,15.6864293,80.0140833,"Plotno -106, 107, Growthcentre, Gundlapalli, Andhra Pradesh 523211, India",ChIJL1wFdXz5SjoRtQWVzIFGOZo,3.8,25
Shri Srinivasa Weighbridge,,Chatrai,Andhra Pradesh,521214,OPERATIONAL,17.01906,80.801391,"Opposite Indian oil petrol bunk Surampalem, Chatrai, Andhra Pradesh 521214, India",ChIJ16-VwxPVNToRocQkkS6Nk8Q,4.3,3
SRI KRISHNA WEIGH BRIDGE,,N/A,Andhra Pradesh,522601,OPERATIONAL,16.2584333,80.05942540000001,"7355+9QF, C/o MAHALAKSHMI FRIED GRAM MILL ISSAPPALEM, Guntur - Sattenapalli Rd, Andhra Pradesh 522601, India",ChIJy1vvWEmBSjoRKVDNYloITCk,4.4,9
Sri Venkateswara weigh bridge kailasapatnam,,Kailasapatnam,Andhra Pradesh,531085,OPERATIONAL,17.5528055,82.69681729999999,"HM3W+4PG, Kailasapatnam, Andhra Pradesh 531085, India",ChIJk5m8XAC9OToRG3o70gP_S_s,5,1
SRI KRISHNA WEIGHBRIDGE,094401 14362,Proddatur,Andhra Pradesh,516360,OPERATIONAL,14.7518401,78.5755927,"Auto Nagar, Proddatur, Andhra Pradesh 516360, India",ChIJTycpByV_tDsR1VJ8s__2p2I,4.1,20
VENKATA SAI WEIGH BRIDGE,096761 98936,Makkinavarigudem,Andhra Pradesh,534456,OPERATIONAL,17.1644287,81.0826946,"Gajula Road, Makkinavarigudem, Andhra Pradesh 534456, India",ChIJpTk1ZueLNjoR0y9V8JfGZO0,3.8,22
TEJA WEIGH BRIDGE,,Ibrahimpatnam,Andhra Pradesh,521456,OPERATIONAL,16.6373051,80.43454349999999,"Dno1-114-6 Dondabanda, Ibrahimpatnam, Andhra Pradesh 521456, India",ChIJFQJ2Ut6VNToRKLTFy_jiBsI,3.3,9
Guntur Weigh Bridge,,Nallapadu Rural,Andhra Pradesh,522005,OPERATIONAL,16.301968,80.3547286,"8923+QVQ, near Mirchi yard, Nallapadu Rural, Andhra Pradesh 522005, India",ChIJq-UfI5l1SjoRvC9N3XI0b08,5,3
AVR Weigh Bridge,086442 45656,Kollipara,Andhra Pradesh,522304,OPERATIONAL,16.2827373,80.74847539999999,"9-36, Tenali Taluka, Guntur District, Kollipara, Andhra Pradesh 522304, India",ChIJo9becR4BSjoRomnGOuUAEUI,3.5,13
VenkataSwetha Weigh Bridge,,Visakhapatnam,Andhra Pradesh,531021,OPERATIONAL,17.6198864,83.0792463,"J39H+XM5, Paravada, Visakhapatnam, Andhra Pradesh 531021, India",ChIJ808gX_VtOToR6SkZsYsEEak,3.9,20
Krishna Weighbridge(వాసు గారి కాట),,N/A,Andhra Pradesh,521230,OPERATIONAL,16.76019,80.6807882,"SH 32, Andhra Pradesh 521230, India",ChIJDXip5wfdNToRts9FeKaaOb0,5,2
I.K Weigh Bridge,090000 52437,Adoni,Andhra Pradesh,518301,OPERATIONAL,15.6255677,77.26313259999999,"J7G7+66P, Unnamed Road, Vengalapuram, Adoni, Andhra Pradesh 518301, India",ChIJfX3jrrhNtjsRGh3Afc9B1Jw,4.2,10
Bharat Public Weigh Bridge,,Visakhapatnam,Andhra Pradesh,530012,OPERATIONAL,17.7021436,83.1798412,"Plot no: 83, Block E, Auto Nagar, Visakhapatnam, Andhra Pradesh 530012, India",ChIJ69ufe25pOToRQW3hNKPCH1E,4.2,5
Sri Venkateswara Weigh Bridge,,Ponnur,Andhra Pradesh,522124,OPERATIONAL,16.0599495,80.54811769999999,"3G5X+X6H, Ponnur, Andhra Pradesh 522124, India",ChIJ1bqImd0RSjoRNbz4Vb9TvJM,4.7,3
Srinivasa Weigh Bridge,,Kaligiri,Andhra Pradesh,524224,OPERATIONAL,14.825689,79.7035204,"RPG3+7CC, Kaligiri, Andhra Pradesh 524224, India",ChIJdacDoyVfSzoRL9s3ISHXzsM,4,1
MANJUNATHA WEIGHBRIDGE V.KOTA,093936 80223,Tirumala Pichigundlapalle,Andhra Pradesh,517424,OPERATIONAL,13.0091975,78.49631699999999,"2F5W+MGP, NH 42, Tirumala Pichigundlapalle, Andhra Pradesh 517424, India",ChIJq83s74qbrTsRBZEMZLpcOGo,5,1
Bhavani weighbridge,,Thathireddipalli,Andhra Pradesh,517432,OPERATIONAL,13.1891579,78.59451969999999,"5HQV+MR, Thathireddipalli, Andhra Pradesh 517432, India",ChIJB0aNKZiDrTsRmm9qVg8vKLo,4.9,7
ANNAPURNA WEIGH BRIDGE,,Kanchikacherla,Andhra Pradesh,521180,OPERATIONAL,16.6926625,80.39146749999999,"SH 234, Kanchikacherla, Andhra Pradesh 521180, India",ChIJC9XCMgS_NToR1ADllJh49Hw,4.4,9
SANTHI SRI WEIGH BRIDGE,094419 55598,Guntur,Andhra Pradesh,522001,OPERATIONAL,16.3244031,80.48371019999999,"PHASE 3, NH-5, INDIRA AUTONAGAR, GUNTUR, Guntur, Andhra Pradesh 522001, India",ChIJcWve2WP1NToRUJCUEcfsHwo,4.3,4
New Weigh Bridge,,Santhamaguluru,Andhra Pradesh,523302,OPERATIONAL,16.134886,79.9720972,"4XMC+XR5, Santhamagulur Rd, Santhamaguluru, Andhra Pradesh 523302, India",ChIJRx_3CamFSjoRf27hkXD68z0,3.8,18
KNR Weighing Bridge.,,Rahmatabad,Andhra Pradesh,524304,OPERATIONAL,14.6892786,79.6744526,"MMQF+PQG, Rahmatabad, Andhra Pradesh 524304, India",ChIJ-5BC5gyjTDoRzUwOfvdlqU8,4.7,3
Weigh Bridge,,Chinna Avutapalli,Andhra Pradesh,521101,OPERATIONAL,16.5501504,80.821648,"HR2C+3M6, Autapalli, Chinna Avutapalli, Andhra Pradesh 521101, India",ChIJr1y3qTwINjoRJhE0ug3HHVQ,3.8,18
Weigh Bridge -1,,APSEZ,Andhra Pradesh,531011,OPERATIONAL,17.5317161,83.0045756,"G2J3+MRQ Abhijeet Ferrotech Limited, APSEZ, Andhra Pradesh 531011, India",ChIJo5mGe9wNOToRGpluhaym_hs,3.7,3
Vamsi Krishna Weigh Bridge,,Nuzividu,Andhra Pradesh,521201,OPERATIONAL,16.7248258,80.81169539999999,"PRF6+WMP, Ravi cherla X roads to, Vijayawada Rd, Nuzividu, Andhra Pradesh 521201, India",ChIJ0dcZy1h1NjoRvXwulICBwbM,4.5,4
BHARATH'S WEIGHBRIDGE,,Kathaluru,Andhra Pradesh,516329,OPERATIONAL,14.3707171,78.4273943,"9CCG+7XJ, Kathaluru, Andhra Pradesh 516329, India",ChIJh7rTU4C9szsRLK2P3rgfSsY,3.7,11
Sri Rajyalakshmi Weigh Bridge,099854 46789,Mangalagiri,Andhra Pradesh,522503,OPERATIONAL,16.416485,80.56151779999999,"Opp:, Autonagar, Andhra Pradesh 522503, India",ChIJTR05TEvxNToRfEkhwBpEFH8,4,2
SANTHOSHI WEIGH BRIDGE,093927 24479,Jaggaiahpet,Andhra Pradesh,521178,OPERATIONAL,16.9100904,80.1178716,"W469+24Q, NH 65, Jaggaiahpet, Andhra Pradesh 521178, India",ChIJP8TX38qpNToR12YXc8UXdkI,3.8,16
Rajdhani Weigh Bridge,,Visakhapatnam,Andhra Pradesh,530012,OPERATIONAL,17.6954822,83.1876723,"M5WQ+53V, Unnamed Road, Auto Nagar, Visakhapatnam, Andhra Pradesh 530012, India",ChIJ6XCHZ-BoOToR0Ov7JrnWF_k,4.3,123
M/S A.N. Enterprises,082580 31632,Naharlagun,N/A,791110,OPERATIONAL,27.1082125,93.69642089999999,"Sector A, near Domino's, Naharlagun, Arunachal Pradesh 791110",ChIJ9ZM9xDEBRDcR3HugRLfHAQk,4.7,39
Pawaah Bridge,,Kibithoo,N/A,792104,OPERATIONAL,28.2563887,97.0216329,"724C+HM2, Kibithoo, Arunachal Pradesh 792104",ChIJQRQzNQCdPTcRVCkUQ3jaaP0,5,1
Kurung Bridge Point. Tadar Nyioriang,,Koloriang,N/A,791118,OPERATIONAL,27.8950394,93.4300263,"VCWJ+226 kurung bridge, Koloriang, Arunachal Pradesh 791118",ChIJE1ycpJQ1QjcR__GhHyeC4uY,3.7,3
Assam Weigh Bridge Private Limited,082549 93095,Guwahati,Assam,781029,OPERATIONAL,26.1151687,91.80855419999999,"37, National Highway, Jawahar Nagar, Khanapara, Guwahati, Assam 781029, India",ChIJfUD8IjdfWjcR4GPZpjKZcEI,3.4,12
UPPER ASSAM WEIGHBRIDGE,,Hatigara Grant,Assam,785008,OPERATIONAL,26.6861924,94.280304,"M7PJ+F4F, Hatigara Grant, Assam 785008, India",ChIJnT_3w4HnRjcRm12Qa33DqJI,4.5,20
ASSAM WEIGH BRIDGE,,Jogighopa,Assam,783382,OPERATIONAL,26.2335029,90.5746271,"Kayapatty, Jogighopa, Chatpara N.C., Assam 783382, India",ChIJJ-y-7ZxSWDcRgoAbqUXxDgg,5,2
7 No. Weigh Bridge,,Guwahati,Assam,781029,OPERATIONAL,26.1098328,91.8055548,"4R54+W6M, Pator Kuchi, Guwahati, Assam 781029, India",ChIJJ3RPrTtfWjcRfXal3aC04Mk,3.7,74
Dorika weigh bridge,,Nowjan,Assam,785663,OPERATIONAL,27.0067308,94.6537074,"2M43+MFW, Assam Trunk Rd, Nowjan, Assam 785663, India",ChIJAV1vHP41RzcRgQ3L6OUoTTI,4.5,13
MaaLaxmi WeightBridge,070998 75738,Guwahati,Assam,781020,OPERATIONAL,26.177417,91.79784459999999,"B.G road, Geetanagar, Guwahati, Assam 781020, India",ChIJi-YDo-BZWjcRLguveCIeqmw,4.8,4
North East Weigh Bridge,098642 12829,Guwahati,Assam,781028,OPERATIONAL,26.113452,91.80244239999999,"4R73+92J, NH 37, Near Helipad Road, Krishnapur, Beltola Tiniali, Guwahati, Assam 781028, India",ChIJG9C_AjBfWjcRWUUpNdRhrio,3.7,21
Shree Krishna Weigh Bridge,,Guwahati,Assam,781034,OPERATIONAL,26.1112974,91.75459389999999,"4Q63+GRG, NH 37, Nalapara, Lokhra, Guwahati, Assam 781034, India",ChIJxeSHmqdeWjcRYLGAX9zUEg4,3.9,31
Rahul Weigh Bridge,,Guwahati,Assam,781035,OPERATIONAL,26.1183695,91.70083699999999,"4P92+88W, NH37, Katahbari, Boragaon, Guwahati, Assam 781035, India",ChIJAdT-3JtcWjcRWFVvFsIon-E,3.8,248
Tulsi Weigh Bridge,,Guwahati,Assam,781035,OPERATIONAL,26.1176143,91.6836176,"4M9M+2CX, Vigyan Path, Boragaon, Guwahati, Assam 781035, India",ChIJv37GSQBdWjcRbnTpKYkMIwk,5,1
M/S Kamrupa Weigh Bridge,,Guwahati,Assam,781022,OPERATIONAL,26.1153013,91.8117386,"4R86+4MH, Jawahar Nagar, Beltola Tiniali, Guwahati, Assam 781022, India",ChIJh8Pg0TdfWjcRZnZclniH43c,3.5,17
"UB DIGITAL SCALE - | Weighing Scale | Weighbridge | Weight Machine |Guwahati, Assam",086380 20266,Guwahati,Assam,781038,OPERATIONAL,26.1328477,91.7859732,"Hatigaon Main Rd, opp. REPOSE BAKER'S, Rani Bagan, Guwahati, Assam 781038, India",ChIJzewKb3tZWjcRFZP9kGmqL5s,5,371
Ranisati Weigh Bridge,,Barangabari,Assam,784172,OPERATIONAL,26.8308125,93.5210625,"RGJC+8CV, Barangabari, Assam 784172, India",ChIJmxxw8gwXRDcREct_wHlu3To,4.6,14
SHREE BALAJI WEIGHBRIDGE AND M/S MANAS PARKING YARD,060031 36035,Howly,Assam,781316,OPERATIONAL,26.4352187,90.96908909999999,"NH-31, Howly, Nagarjar, Assam 781316, India",ChIJCcSfRWJ1WTcRmXHP9ZVnCX0,5,6
Weighbridge,084029 37170,Ledo,Assam,786182,OPERATIONAL,27.2928621,95.7548297,"7QV3+4WW, Itakhola, Ledo, Stilwell Rd, Ledo, Assam 786182, India",ChIJKdkHt_XYPjcRiicJERovyHI,3.4,28
HOQUE WEIGHBRIDGE,,Balugaon,Assam,784115,OPERATIONAL,26.5273542,92.1557426,"G5G4+W7X, NH 15, Balugaon, Niz Kharupetia, Assam 784115, India",ChIJNakwLCYjWzcR48DGrYialIc,4.5,6
Kamrup Weigh Bridge,,Guwahati,Assam,781034,OPERATIONAL,26.1254755,91.7467879,"4PGW+5PM, Lokhra Rd, Sawkuchi, Guwahati, Assam 781034, India",ChIJSU8PDP1bWjcRnXo4Aq7Ro6Y,4.7,3
M.S WeightBridge,,Balipara,Assam,784101,OPERATIONAL,26.8100797,92.77855079999999,"Balipara, Dolang Basti F.V., Assam 784101, India",ChIJTwd2bDKVRDcR4ZxFKWuxCxI,5,1
"Babamoni weigh bridge,Rangagara, Bhomoraguri,Amoni",,Ranga Gara,Assam,782140,OPERATIONAL,26.4449798,92.89508269999999,"CVVW+X2H, Ranga Gara, Nonoi T.E., Assam 782140, India",ChIJRau0QZnjRDcRm8CBgMDbc3w,4.4,7
Pobitora Weighbridge,078966 41641,Bhakatgaon,Assam,782411,OPERATIONAL,26.2351597,92.0888149,"Kuranibori, Mayong, Road, Narengi- Jagi, Bhakatgaon, Assam 782411, India",ChIJB3dF4P3nWjcRnbCTb2ckgIw,4.8,8
Sai weighbridge,,Byrnihat,Assam,793101,OPERATIONAL,26.0617967,91.8723945,"3V6C+PX6, GS Rd, Byrnihat, Sonai N.C., Assam 793101, India",ChIJybhG4u71WjcRez0DO4qNM5I,5,2
100 TON BHABIRAM WEIGH BRIDGE,,Chaprakata,Assam,783383,OPERATIONAL,26.4889195,90.62097330000002,"NH 27, Chaprakata, Assam 783383, India",ChIJxSnE1P0BWTcRZ-bGowpq170,4.5,10
Mahalaxmi Weigh Bridge,,No.1 Bokupukhuri Habi,Assam,785687,OPERATIONAL,26.9412527,94.8977412,"WVRX+G35, No.1 Bokupukhuri Habi, Assam 785687, India",ChIJ35wNXClQRzcRQR5mWNKY7aI,4.5,2
Smb weigh bridge ( kata),,Mangaldoi,Assam,784529,OPERATIONAL,26.415803,91.98776930000001,"CX8Q+84C, Guwahati- mangaldai road , Saruthekerabari, Mangaldoi, Assam 784529, India",ChIJR0Mw7YMDWzcRPmf6nGNyFEo,2.5,6
MAA KAMAKHYA WEIGHBRIDGE 100 TON । माँ कामाख्या धर्म कांटा १०० टन । মা কামাখ্যা ধর্ম কাটা ১০০ টন ।,093949 27870,Batgaon,Assam,781305,OPERATIONAL,26.2890625,91.1274375,"Batgaon, Assam 781305, India",ChIJo_7lflWFWTcR0_Uiw456ZLA,4.2,18
Vijay Scales And Sons - Manufacturer Of Weighing Scales And Weighbridges,098540 55255,Guwahati,Assam,781001,OPERATIONAL,26.1780297,91.74222909999999,"Mahapurush Damodardev Path, Tokobari Rd, Tokobari Satra, Guwahati, Assam 781001, India",ChIJEerHTDhbWjcRAovUrFy3Bj4,4.2,13
New Karimganj Weight Bridge,,Nathupur Pt I,Assam,788713,OPERATIONAL,24.842009,92.3995236,"R9RX+RR6, Nathupur Pt I, Assam 788713, India",ChIJd8Ner0DVUTcRskuX00ZB8f0,4.1,13
Joy sankar weighbridge,,Kabaitari Pt VI,Assam,783382,OPERATIONAL,26.2315209,90.5737127,"6HJF+MQG, Kayapatty, Kabaitari Pt VI, Jogighopa, Assam 783382, India",ChIJg6jdFwBTWDcRQI9ALPv8KjY,5,6
Rahul Weigh Bridge,,Nizsundarighopa,Assam,781030,OPERATIONAL,26.2437789,91.6891583,"6MVQ+GM7, Nizsundarighopa, Assam 781030, India",ChIJQTYgIhBRWjcRIIH_hgbtmJw,3.6,46
Tarachand Bothra Weigh Bridge,,Salbari Pt.,Assam,783380,OPERATIONAL,26.5019104,90.5576504,"GH25+Q36, Chapaguri, Salbari Pt., Bongaigaon, Assam 783380, India",ChIJjZ85k4X-WDcRfyFrhVsDhgE,4,14
Naman Weight Bridge,,Tangla,Assam,784528,OPERATIONAL,26.6409596,91.8976112,"Near Sipajhar-Borichowka-Tangla Rd, Bara Khat, Tangla, Assam 784528, India",ChIJByNZCfsJWzcR7PwBfzG6kGE,5,3
MBI Weight Bridge,,Lailapur,Assam,788120,OPERATIONAL,24.5195652,92.80143149999999,"GR92+RHF, Lailapur, Assam 788120, India",ChIJcwjHxjlBTjcRGoF6xQqk27U,4.5,4
shiv Weighbridge,,Patacharkuchi,Assam,781326,OPERATIONAL,26.5052097,91.2205033,"G64C+36J, Patacharkuchi, Assam 781326, India",ChIJyZXTewDVWzcRdzoszA9goQA,5,5
Shree Vinayak Weigh Bridge,094351 06361,Guwahati,Assam,781028,OPERATIONAL,26.1138816,91.80656499999999,"4R74+HJ4, Pator Kuchi, Guwahati, Assam 781028, India",ChIJM4mmxF5fWjcRA2MlLUU9pf0,3,2
Shree Shakti Weigh Bridge & Warehousing,,Telia Gaon,Assam,782002,OPERATIONAL,26.3657076,92.6933749,"Laokhowa Rd, Telia Gaon, Nagaon, Assam 782002, India",ChIJjXf8lW4nRTcRpLuaytQMuv0,3.5,2
"Weigh bridge,BIP",,Guwahati,Assam,781030,OPERATIONAL,26.2257265,91.70436579999999,"Brahmaputra Industrial Park, Guwahati, Sila, Assam 781030, India",ChIJ8-gJdQBRWjcRMMyrNGWSmTc,5,1
B K WEIGH BRIDGE & PARKING,070022 14058,Goalpara,Assam,783101,OPERATIONAL,26.0816233,90.7493633,"2, Goalpara-Matia Rd, Monakasa, Goalpara, Assam 783101, India",ChIJmVvu2AO3WTcR3LsJ02HE8dw,5,4
"KCS Weighbridge, Kamalpur, Assam",,Kamalpur,Assam,781380,OPERATIONAL,26.3528695,91.6754686,"BR Industrial Park, phase I, National highway, in front of Alliance India factory, Kamalpur, Assam 781380, India",ChIJp2pAns9NWjcRXYhYbhv0efY,4.4,10
M/S RAMKRISHNA WEIGHBRIDGE,,Biswanath Charali,Assam,784176,OPERATIONAL,26.7446409,93.1740695,"Koboi Garha, NH15, Biswanath Charali, Assam 784176, India",ChIJIVJpJABfRDcRtlu7x3So97g,5,5
M/S Green Valley Weight Bridge,,Lanka,Assam,782446,OPERATIONAL,25.9236833,92.9777967,"Lumding Rd, Lanka, Assam 782446, India",ChIJF5jrIKRzRTcRL40jA7Du-FI,3,4
SM WEIGHT BRIDGE,,Dora Kahara,Assam,781030,OPERATIONAL,26.2869432,91.71251679999999,"7PP7+Q2R, Dora Kahara, Assam 781030, India",ChIJPXsi6ZlRWjcRgOboah8kfHE,3.8,8
Om Biswakarma Weight Bridge,,Sorbhog,Assam,781317,OPERATIONAL,26.4833591,90.8815065,"FVMJ+8JR, Shiv Mandir Rd, Sorbhog, Kalita Para, Assam 781317, India",ChIJzbW5YKwLWTcRdE7DCxkAzZQ,5,1
Dolabari Vehicle Weigh Bridge,,Gutlong Gaon,Assam,784027,OPERATIONAL,26.6523166,92.8218766,"MR2C+WQC, NH 37A, Dolabari, Gutlong Gaon, Assam 784027, India",ChIJDaKXvnTpRDcR8F-bun4Rb7E,3,22
